timestamp,PM2.5,PM10,CO2
2024-12-11 22:02:57,52,129,540
2024-12-11 22:02:57,105,129,405
2024-12-11 22:02:57,161,93,664
2024-12-11 22:02:57,55,105,538
2024-12-11 22:02:57,200,207,529
2024-12-11 22:02:57,134,108,620
2024-12-11 22:02:57,111,195,450
2024-12-11 22:02:57,112,240,410
2024-12-11 22:02:57,73,268,486
2024-12-11 22:02:57,128,60,593
2024-12-11 22:03:05,100,59,767
2024-12-11 22:03:10,118,300,705
2024-12-11 22:03:15,107,243,524
2024-12-11 22:03:20,133,59,525
2024-12-11 22:03:25,188,209,786
2024-12-11 22:03:30,55,151,553
2024-12-11 22:03:35,10,198,530
2024-12-11 22:03:40,117,272,650
2024-12-11 22:03:45,48,177,752
2024-12-11 22:03:50,184,88,775
2024-12-11 22:03:55,143,198,777
2024-12-11 22:04:00,13,135,484
2024-12-11 22:04:05,106,65,591
2024-12-11 22:04:10,132,170,468
2024-12-11 22:04:15,177,279,570
2024-12-11 22:04:20,129,293,643
2024-12-11 22:04:25,13,54,559
2024-12-11 22:04:30,26,94,607
2024-12-11 22:04:35,27,210,701
2024-12-11 22:04:40,145,107,655
2024-12-11 22:04:45,141,59,778
2024-12-11 22:04:50,49,140,546
2024-12-11 22:04:55,176,115,728
2024-12-11 22:05:00,182,201,664
2024-12-11 22:05:05,90,140,403
2024-12-11 22:05:10,85,91,666
2024-12-11 22:05:15,88,283,483
2024-12-11 22:05:20,125,262,747
2024-12-11 22:05:25,78,187,613
2024-12-11 22:05:30,84,284,719
2024-12-11 22:10:35,175,152,464
2024-12-11 22:10:40,106,173,790
2024-12-11 22:10:45,21,234,597
2024-12-11 22:10:50,61,55,597
2024-12-11 22:10:55,78,169,462
2024-12-11 22:11:00,199,263,606
2024-12-11 22:11:05,126,73,668
2024-12-11 22:11:10,180,143,469
2024-12-11 22:11:15,19,220,569
2024-12-11 22:11:20,58,126,600
2024-12-11 22:11:25,90,91,556
2024-12-11 22:11:30,26,133,601
2024-12-11 22:11:35,29,59,521
2024-12-11 22:11:40,103,125,590
2024-12-11 22:11:56,13,131,434
2024-12-11 22:12:56,69,219,489
2024-12-11 22:13:19,66,151,534
2024-12-11 22:13:20,192,211,572
